score,k,nDCG
esm1v_zero_shot_add,24,0.654056526774889
esm1v_zero_shot_add,96,0.6539281510984482
esm1v_zero_shot_add,384,0.7038979195013237
esm1v_zero_shot_wt,24,0.654056526774889
esm1v_zero_shot_wt,96,0.6539281510984482
esm1v_zero_shot_wt,384,0.7038979195013237
esm1v_zero_shot_mc,24,0.6087528500613035
esm1v_zero_shot_mc,96,0.6540551027743242
esm1v_zero_shot_mc,384,0.7049247252709927
friend_zeroshot,24,0.6087528500613035
friend_zeroshot,96,0.6540551027743242
friend_zeroshot,384,0.7049247252709927
pll_delta,24,0.5654382031680912
pll_delta,96,0.7024354370254203
pll_delta,384,0.7280368281334808
