slice,score,k,hit_rate,baseline,enrichment
≤2,esm1v_zero_shot_add,24,0.2916666666666667,0.4999639275665536,0.5833754208754209
≤2,esm1v_zero_shot_add,96,0.3020833333333333,0.4999639275665536,0.6042102573352574
≤2,esm1v_zero_shot_add,384,0.421875,0.4999639275665536,0.8438108766233766
≤2,esm1v_zero_shot_wt,24,0.2916666666666667,0.4999639275665536,0.5833754208754209
≤2,esm1v_zero_shot_wt,96,0.3020833333333333,0.4999639275665536,0.6042102573352574
≤2,esm1v_zero_shot_wt,384,0.421875,0.4999639275665536,0.8438108766233766
≤2,esm1v_zero_shot_mc,24,0.2916666666666667,0.4999639275665536,0.5833754208754209
≤2,esm1v_zero_shot_mc,96,0.3125,0.4999639275665536,0.6250450937950939
≤2,esm1v_zero_shot_mc,384,0.421875,0.4999639275665536,0.8438108766233766
≤2,friend_zeroshot,24,0.2916666666666667,0.4999639275665536,0.5833754208754209
≤2,friend_zeroshot,96,0.3125,0.4999639275665536,0.6250450937950939
≤2,friend_zeroshot,384,0.421875,0.4999639275665536,0.8438108766233766
≤2,pll_delta,24,0.25,0.4999639275665536,0.5000360750360751
≤2,pll_delta,96,0.4375,0.4999639275665536,0.8750631313131314
≤2,pll_delta,384,0.4322916666666667,0.4999639275665536,0.8646457130832131
